epoch,loss,conf_ratio,avg_miou,avg_pixel_acc,fog_miou,rain_miou,snow_miou,night_miou
1,0.971579586995594,41.91408933371446,49.788228089421295,83.82056087592213,65.40090438299421,53.32366335777882,49.539164834981754,30.88917978193038
2,0.9754955615565211,58.364219768141936,50.63695307591598,84.28788880192461,66.15491057677526,54.20798510416645,50.6635993869031,31.52131723581914
3,0.9544029561320486,63.899430670670874,50.71557120810841,84.40149182286699,66.00340796925613,53.818652760385454,51.69845523831198,31.34176886448009
4,0.9304446809509895,66.65134840389987,51.04651596233079,84.45638536770353,66.11458371662015,54.033622778154985,52.16833065939767,31.86952669515033
5,0.9209437181204858,68.34633422523196,51.97924239506355,84.53043037433773,66.29773853836616,55.22986413284452,52.32578170514635,34.063585203897176
