epoch,loss,conf_ratio,avg_miou,avg_pixel_acc,fog_miou,rain_miou,snow_miou,night_miou
1,0.9457744619813475,49.853672240513156,49.29739003012609,83.2262739805381,65.05953000432484,52.727935012712976,48.73855102616649,30.663544077300024
2,0.9625585837779466,64.49469378432254,50.657956757212766,83.85977009636919,66.03316676347497,54.12554398524304,50.8155253669459,31.65759091318716
3,0.9377565665199361,69.58523809949905,51.30917835478201,83.9119139088962,66.42554546782469,54.84666919379044,52.03272641374907,31.931772343763864
4,0.9208579980934235,71.8764694408835,51.56403394672699,83.82891242090244,66.5569180334126,55.1156266158072,52.73954767506992,31.844043462618227
5,0.9100264014216501,73.63290741849282,51.639659427918744,83.82472231952178,66.58535537068295,55.24058878672334,52.96697939366851,31.76571416060016
