epoch,loss,conf_ratio,avg_miou,avg_pixel_acc,fog_miou,rain_miou,snow_miou,night_miou
1,0.9976507011542964,61.19162835927321,50.00701874679541,83.59576059090475,65.15870105932771,53.52723260410491,50.045577104083115,31.296564219665886
2,0.9634707692932907,72.75455182401943,50.80291475778587,83.92832622276235,65.89500396938179,54.11714957918448,50.986105562254814,32.2133999203224
3,0.9475593276988281,76.9380268027659,51.22152770593674,83.93102906280731,66.18520834990382,54.781289764259654,52.078685261967195,31.840927447616274
4,0.9366175632550561,79.09518744052458,51.57688638615478,83.83939372496451,66.27186457065692,55.6882099837108,52.756992962912555,31.590478027338847
5,0.9308105415658976,80.23288755025652,51.91989625806605,83.87524902512514,66.52988290443683,56.00679553998288,53.46115247704668,31.681754110797815
