epoch,loss,conf_ratio,avg_miou,avg_pixel_acc,fog_miou,rain_miou,snow_miou,night_miou
1,0.9432900875065258,41.748061497578625,49.30065924583941,83.31759572163554,65.26819074657634,52.95283665853822,48.51182800698259,30.46978157126051
2,0.9200258534990386,59.305955518710995,50.5446052757269,83.84777611819834,66.06412332566104,54.05040868542444,50.41143838091951,31.652450710902595
3,0.9252931380941312,65.04645395695803,50.93702234973375,83.86061630091419,66.5598076143836,54.6183466697382,50.812660200460336,31.757274914352884
4,0.9091891870353553,67.65853379024462,51.412925272033114,83.91419061046139,67.07377567884609,55.15962341748172,51.401188312922095,32.017113678882545
5,0.904096198907697,69.1234937512642,51.59642823521588,83.98143955903068,67.36331282733951,55.388939595654385,51.75828420390649,31.875176313963117
