epoch,loss,conf_ratio,avg_miou,avg_pixel_acc,fog_miou,rain_miou,snow_miou,night_miou
1,0.883429426126177,27.976948956795482,49.47580992974037,83.48931155898798,65.4246960467632,53.379753448669085,48.6141867939914,30.48460342953779
2,0.9019673902092962,48.90866731747574,50.849477504845126,83.89739616554039,65.93953666320226,54.7240429579806,51.56528163905646,31.169048759141194
3,0.9055160594190939,55.62900999847802,51.2618328754843,84.06777653666161,66.26547459121005,54.9343936589343,52.25233373138224,31.59512952041065
4,0.9058297830755949,59.38239581807796,51.61129531264276,84.09936207528929,66.45902589036893,55.140476253814526,53.09827149285824,31.747407613529326
5,0.8824398056444259,60.87485725797899,51.84244280366024,84.13200641986394,66.74344674269429,55.43267917637055,53.27371361852823,31.919931677047884
